person_id,club_id
104246,4
102767,2
101333,2
100503,4
105757,3
106268,2
101500,4
104834,3
105981,1
100822,1
102139,3
108059,3
105253,4
108906,4
108941,3
100387,1
109919,3
106899,1
106100,3
100035,4
102005,1
102282,3
100096,3
103163,3
105287,3
108716,3
105393,2
109576,4
100784,4
107196,3
102142,1
101166,4
106255,3
109901,3
103202,3
100338,4
107544,3
108574,3
101679,2
103228,4
108510,3
101006,2
103358,3
109043,2
101928,3
101789,2
100089,3
100272,2
107905,4
102840,3
107207,2
104855,4
107683,3
104923,3
104733,4
102185,3
100862,2
101722,1
109352,3
105842,2
101383,2
107923,2
105476,3
105426,4
106385,2
101864,4
106514,3
107631,2
102658,3
101791,3
106950,3
109063,1
107408,1
106096,2
102670,1
107988,2
101036,3
106761,4
106424,1
104020,2
105424,4
106536,4
109847,3
104256,4
104579,3
104026,3
101655,3
104461,2
100650,4
103168,1
109275,1
103019,1
106861,1
104703,1
105764,1
101980,1
109190,2
105716,4
108809,4
103040,3
107997,2
104470,4
104787,1
103296,1
103869,4
103049,3
106567,4
102849,3
100555,3
104016,4
108874,4
108755,2
107680,2
101387,4
101879,1
105785,4
106223,1
106584,2
107720,3
107655,2
108598,1
106288,2
100346,1
108760,3
105968,2
105127,2
107801,2
101304,3
100382,2
104490,1
101663,4
107127,1
108108,3
105699,4
102697,3
100617,1
109671,2
101001,1
102880,1
107016,4
105723,1
102138,3
104551,2
109298,4
103348,4
102601,2
104577,3
102191,4
109802,1
101693,2
104837,4
109436,1
106485,1
109769,1
103726,3
103295,4
109700,4
100318,4
102749,4
102603,1
106176,1
101773,4
108197,3
105278,1
106637,3
107217,3
106080,1
104097,4
108665,2
104410,3
109473,2
108335,4
108293,2
109356,2
106102,1
108731,4
106595,2
101305,2
108567,3
107298,4
104456,2
108949,1
100913,3
107570,2
101930,3
101956,1
109726,4
101522,2
103773,4
104928,2
104525,1
103736,2
103805,3
102979,1
107152,1
104809,4
101675,3
100802,4
105058,1
102565,2
108533,4
105733,2
105529,3
102657,4
106308,4
101604,3
100521,4
104349,3
103003,1
103108,3
105510,2
109619,2
106897,3
101619,4
108561,3
105298,1
102987,2
109050,3
100472,3
100587,3
107758,1
100396,2
104449,2
102853,1
100303,1
108154,2
106252,2
107089,1
107167,2
108968,2
106070,3
103112,3
106634,1
105619,2
104649,2
104398,4
103995,2
105990,3
101598,2
108548,3
101199,4
100201,4
105026,4
102056,4
102193,1
104685,3
106283,2
104361,3
100827,2
106319,3
100034,3
108164,2
105272,3
106836,1
102753,3
109796,4
100612,2
109290,4
106881,4
100876,1
109554,1
102342,1
105256,3
107937,2
108221,1
104565,2
104468,2
100181,4
105914,3
102653,1
104518,3
100187,3
104421,2
105128,4
109520,4
101217,1
101231,3
108732,4
102701,3
106934,1
105052,4
107400,1
106427,4
108402,4
103875,3
101165,1
101562,1
108800,1
104901,2
107842,1
104563,3
109992,2
103263,2
101255,3
100550,2
102085,1
103447,2
104738,2
100309,2
109652,2
105371,4
104798,4
105778,4
108267,2
107468,1
108462,2
109572,2
105586,1
101884,3
101966,3
100557,1
101503,4
102022,4
102633,4
106159,2
107650,3
105570,4
101270,3
100360,4
104392,2
109789,3
100399,1
108490,4
106282,1
109837,2
100074,3
106439,3
103616,1
101918,1
103681,3
102688,3
105944,3
104713,1
109469,1
104353,2
107335,1
106940,4
107469,3
108198,4
109115,1
101065,4
107639,4
107646,4
107252,1
104159,4
105873,3
106002,4
104890,3
107420,2
104984,4
103450,4
102328,1
103375,4
100700,1
106299,1
101888,4
105877,3
104323,4
107903,3
100017,3
109041,4
101733,2
106765,1
101827,3
107276,3
107352,3
102549,1
102720,1
105815,4
107533,2
109183,3
100585,2
105761,4
107197,2
102707,3
104065,2
100833,2
101867,2
100865,4
100561,2
108641,3
100499,1
100501,3
109778,3
100945,4
108924,4
109482,4
104315,2
108282,4
108901,3
102788,2
103796,4
105722,2
108728,3
103239,3
105718,4
103033,4
102225,4
109113,1
103116,3
103213,3
106871,3
105179,4
107289,1
105758,1
102620,1
107131,2
106085,2
105497,2
105889,1
103941,1
107523,4
106419,3
109391,2
102940,4
100208,3
109274,1
103340,4
104377,2
109026,3
102718,4
104365,1
108645,4
108114,4
102561,4
100947,2
108862,3
109471,2
105774,1
103027,3
100350,4
105161,4
108622,3
109032,1
101352,2
107821,1
100782,1
101254,3
108376,2
105190,3
100294,4
102772,1
106260,3
108816,4
105681,1
105372,4
104120,4
100033,3
106736,3
100138,1
108868,3
107907,3
103782,3
105958,4
109029,2
105771,3
101771,2
100608,3
108483,3
109681,4
103421,3
103290,2
107045,1
101478,3
102186,4
106049,1
105270,1
105949,1
101356,2
104657,3
106231,3
100549,2
109263,2
106022,3
104670,1
107807,2
105880,1
100020,3
107067,3
105158,3
103289,4
107761,1
100016,1
106839,2
102649,2
102915,3
103662,2
104718,3
100598,4
104348,1
100429,4
100978,2
102148,2
107098,1
102111,4
100719,2
108502,3
109044,2
107839,1
103801,2
107137,4
108739,2
102083,1
106856,4
106700,3
101318,3
105188,4
103449,1
105970,2
101003,3
109254,4
108096,3
105045,3
101031,2
106091,2
108476,3
104516,3
107834,1
102344,4
101373,2
102481,2
105081,3
102831,4
106874,3
106343,4
100306,3
104294,3
109648,3
104131,2
107381,1
106406,3
108855,1
108047,4
104316,4
101437,1
105362,4
104464,2
101628,3
102441,4
108873,3
100316,4
100238,1
104304,2
103234,1
108400,2
100716,2
109512,1
103928,1
109397,1
103084,1
100954,2
108700,1
108963,4
102296,1
105776,4
103235,3
107953,3
106095,4
102921,2
106369,2
101587,4
107078,1
100257,2
107777,3
106772,2
102031,1
103808,4
105234,2
104477,2
109815,1
109997,1
102681,2
101971,3
107770,2
107250,1
102492,3
108920,1
107971,2
108794,3
105551,1
101711,1
109563,4
105219,3
104391,2
109327,4
101028,4
103890,1
105897,1
107714,1
101027,4
103881,1
106238,1
106812,2
103070,2
108339,3
106036,1
103199,1
107460,2
107480,4
100884,4
101216,4
105432,2
105824,2
109532,3
101988,2
101248,3
107221,3
104481,3
108436,1
103285,2
100185,4
108579,2
104864,3
109509,3
107957,1
108009,2
107676,1
105655,4
104132,3
105671,4
102061,2
106999,1
109381,3
102264,3
108815,2
103957,3
109027,3
100345,3
103470,1
109890,2
106438,1
102049,1
100861,2
104914,4
109279,1
108787,1
105688,1
102212,4
108251,3
100679,3
103335,4
108662,4
106652,4
106501,3
103111,4
108285,1
101073,1
109155,3
102107,1
104299,4
101510,2
107299,2
100618,4
107178,4
101508,3
103378,1
103113,2
105418,4
102200,1
103589,2
103337,4
103130,4
103503,4
103349,1
106072,4
101769,4
101299,1
109609,4
107669,4
103036,2
102370,1
100438,2
106185,1
105033,2
100622,1
100191,1
108350,1
104631,1
104555,2
100071,1
103178,2
100243,3
108540,4
105204,1
104896,2
100184,4
104244,4
107733,1
103624,1
109923,3
106029,1
102935,2
102276,4
105032,4
102044,4
102910,4
101730,4
100789,1
108960,2
105995,4
106497,3
104859,1
102414,1
105462,4
104651,4
102128,4
100440,1
103694,3
102357,3
108272,2
109126,2
106658,4
109434,1
109819,3
106394,2
106432,3
103006,4
101039,2
102037,3
108834,1
100979,4
105694,2
108799,2
108961,3
102384,3
105119,3
108137,3
103209,4
108663,3
107379,2
100911,3
109791,4
107190,2
100199,4
107886,2
103608,1
103030,3
100530,4
100394,4
100726,2
109691,3
107810,1
103921,2
100616,2
105054,4
102345,2
107261,2
108513,4
109260,2
101823,2
105713,4
109591,3
104261,3
101189,1
107942,4
100850,2
100372,3
100053,4
106227,2
103139,4
104542,4
108067,2
105252,3
104472,1
102598,4
106959,4
105050,2
104259,3
107010,1
107334,4
108612,2
107363,2
101049,4
105226,3
105210,4
102097,1
101147,4
102778,4
106482,1
108046,2
105908,3
109417,2
109366,4
106212,2
101932,1
100082,4
102267,3
102001,2
107746,4
100021,3
100850,1
100786,2
107863,4
104434,3
104098,2
105540,1
103276,4
100682,4
109966,3
101344,4
105090,2
105206,1
101135,3
107427,1
100313,4
106681,1
102551,1
106786,1
105304,2
107497,4
106225,3
108527,3
102523,2
109668,2
103854,1
107764,1
107022,1
105535,1
101167,1
101696,1
100006,4
104847,1
104731,1
103114,1
102228,2
102695,3
109024,1
106576,3
108610,3
100658,1
102713,2
106752,2
102875,3
102959,1
108145,2
100009,4
106131,4
105163,2
101047,1
101724,4
106020,2
106058,4
100666,3
107860,3
109028,4
109514,1
103054,4
104961,2
108195,3
102562,4
104029,2
108203,1
103172,2
100955,4
100070,1
109597,2
105630,4
101921,4
106689,2
105605,2
104857,2
103460,3
107179,2
108460,3
104506,4
109023,2
109505,1
105732,3
107776,4
100635,2
107208,3
105479,2
106778,2
106407,1
108788,2
108687,1
102968,3
101901,4
107672,1
100253,4
103115,3
106421,3
101863,2
100592,1
103121,1
102744,2
102874,2
103762,1
103190,2
107963,3
100390,4
104823,4
108927,3
100974,3
107476,2
109480,1
107350,1
104588,1
105794,1
106577,2
102304,3
106441,2
105793,2
107930,3
101453,2
100011,1
109138,4
108351,4
108726,1
102691,3
107941,2
100259,3
103696,1
104121,2
101526,1
104630,3
100741,4
107679,1
108377,2
105183,2
101276,2
105917,4
108070,1
102926,3
105740,1
107362,1
108191,1
106292,2
103755,3
108615,2
102297,4
109452,1
109302,3
104926,3
100697,1
105453,4
109575,2
102524,2
107028,1
104075,4
109711,4
107411,3
105061,1
108020,4
109040,1
103354,3
103380,2
